No;Tweet;Sentiment
27;Słodkie lenistwo :) #doglovers #odpoczynek #czytambolubie #targiksiazki #psiastkarnia #najlepiej;happy
28;Nie robię już nic. #niedziela #niedzieladzieńlenia #sunday #lazyday #odpoczynek #summer #london… ;neutral 
29;Jakie macie plany na #majówkę? Szykuje się jakiś wypad za miasto? #pytanie #wolne #odpoczynek #friends;neutral 
30;Łóżkowa sytuacja #odpoczynek #ksiazka #książka #herbata #tea #earlgrey #teddybear #vintagestyle #vintage #pluszaki …;neutral 
31;W lesie najlepiej :)))) #las #laguna #turbo #odpoczynek #rest #fresh #air ;happy
32;Dzień dobry! :) Też cieszycie się, że już #piątek? I zaraz #weekend :) #słodkachwila #relaks #odpoczynek #kawa #herbata;neutral 
33;Nie zapominajcie, że #relaks i #odpoczynek są bardzo ważne :) ;neutral 
34;No to zaczynamy weekend!!! (Y) (Y) (y) #weekend #weekendupoczątek #odpoczynek;happy
35;#freeday i juz po pracy :) #odpoczynek #tv #ipla #wladcymoch;happy
36;Wszyscy dawno niewidziani znajomi mówią mi, że świetnie wyglądam. Chyba muszę im zaufać. :D #wkońcusięwyspałam #odpoczynek;happy
37;U nas jeszcze trochę po/świątecznego odpoczynku. #soki #odpoczynek #wolne;neutral 
38;Obiad zrobiony. Wszyscy na jedzeni. Leczymy i odpoczywamy. Jutro znowu trzeba rano wstać :)#zmęczenie #Day #odpoczynek #baby;happy
39;Niedziela po pracy... Klapłam na łóżko i nie ruszam tyłka. #odpoczynek #zasłużonelenistwo #gdziejestkocyk...;neutral 
40;Jednak czasem ja też mam trochę szczęścia :) #weekend #odpoczynek #listTWITTERopad;happy
41;Plan dnia wykonany w 200% - koniec malowania :) :) :) a miało to nastąpić dopiero jutro . :D :D :D Czas na zasłużony #odpoczynek;happy
42;Koniec remontu. Teraz #odpoczynek i budujemy nowe stronki ;neutral 
43;Piątek, piąteczek, piątunio :-) #weekend #odpoczynek #fitness #gym #siłownia;happy
44;Teraz praca .... a później? Akcję GÓRY NA WEEKEND czas zacząć #radość #podróż #odpoczynek #relaks…;happy
45;Po 2 dniach intensywnej pracy czas na relax!! :D (Y) I love Warsaw! <3 <3 <3  #warszawa #relax #odpoczynek…;happy
46;A jak jest z Wami? #weekend #praca czy #odpoczynek ? ;neutral 
47;nareszcie weekend #odpoczynek :));happy
48;Weekendzik! Nareszcie! #odpoczynek #od #szkoły #tak #bardzo #dobrze;happy
49;Magia polskich gór... #góry #przyroda #zdjęciednia #odpoczynek #światło ;neutral 
50;"Oby ten #weekend okazał się dla Was pod tym względem ""pracowity"" :) #słodkielenistwo #relaks #odpoczynek ";neutral 
51;Lubicie hamaki? My bardzo <3;happy
52;Piękna pogoda! A za niecałe dwa tygodnie #wakacje #urlop #odpoczynek! :);happy
53;Nie ma to jak opalanko na trawce u babci na wsi z widokiem na góry i dobrą muzyczką w słuchawkach #wakacje #jestbosko #smażing #odpoczynek;happy
54;Sport sportem,marketing marketingiem, ale wakacje muszą być :) #odpoczynek #aktywnie #morze #jestcudownie;happy
55;Nic tak nie pogłębia relacji z drugim człowiekiem jak wspólny #odpoczynek. Nic tak nie spłyca relacji jak odpoczynek od siebie.;neutral 
56;#Odpoczynek jest jak pauza w muzyce! <3;happy
57;#szczęście to nie ilość pieniędzy , które masz , tylko ludzie w twoim życiu , którzy pomagają ci…;neutral 
58;Zrobił i przyniósł mi kawę #mójsyn #poniedziałek #wrócił #znowuwdomu #szczęście #młody… :);happy
59;Dobrze jest wciąż przekraczać własne wewnętrzne ograniczenia i rozwijać wiarę w #sukces #szczęście ;neutral 
60;Prawdziwe szczęście jest rzeczą wysiłku, odwagi i pracy. #szczęście #odwaga #producentsiebie;neutral 
61;Podobno gdy wszystko się ułoży będę szczęśliwy. Nie!!! Gdy będę szczęśliwy wszystko się ułoży. indeterminate czy to do końca prawda #szczęście;discouraged
62;Nareszcie po pracy.... Łóżko my love :D dwa dni wolnego mmmmmm #szczęście;happy
63;Czemu każdy myśli... Że ktoś się uśmiecha to znaczy że jest szczęśliwy #szczęście #uśmiech #happy;depressed
64;Ale jestem szczęśliwa Każdemu polecam to uczucie! #szczęście :D;happy
65;Kiedy ludzie składali mi życzenia, uświadomiłam sobie że -to co chcę, to już mam. -cała reszta jest niepotrzebna. #szczęście :);happy
66;#szczęście o smaku czekolady Bardzo dzień dobry :)) ;happy
67;Bo tylko Ty możesz je osiągnąć. #szczęście ;neutral 
68;Życzymy wam radosnego, pięknego dnia! #drzwi #szanse #decyzje #przyszłość #życie #szczęście #przeznaczenie #inspiracje #cytaty;neutral 
69;Najważniejsze jest twoje szczęście http://www.xdpedia.com/20915/najwazniejsze_jest_twoje_szczescie.html … #cytatyożyciu #cytat #szczęście #memy #życie #aforyzmy #opinie #mem #cytaty;calm
70;Dlaczego osobom mądrym trudniej o szczęście? http://kompresja.pl/dlaczego-osobom-madrym-trudniej-o-szczescie/ … #szczęście #człowiek #inteligencja #depresja #mądrość #wiedza;depressed
71;Śmiałym #szczęście sprzyja.;neutral 
72;#Szczęście :) #Bóg jest Wielki!;happy
73;Spontaniczne zakupy, zmiana fryzury, a może przemalowanie mieszkania? Nieplanowanie jest naprawdę super! #Marena #spontanicznie #szczęście ;neutral 
74;Przyjaźń jest szczęściem cenniejszym od złota http://www.xdpedia.com/20657/przyjazn_jest_szczesciem_cenniejszym_od_zlota.html … #przyjaciele #mem #obrazki #cytat #cytaty #szczęście #uśmiech;calm
75;Życzymy wam wspaniałego tygodnia! #życie #cud #cuda #zbiór #inspiracje #piękno #szczęście #cytaty;neutral 
76;Pieniądze szczęścia nie dają... #szczęście #pieniądze #sklep #blackfriday #cybermondey #zwrotzazakupy #zrabatowani;neutral 
77;I jak tu nie kochać kebabów Najedzona kobieta to szczęśliwa kobieta. #szczęście  :D;happy
78;"#Szczęście, jaki przepis na udane życie? #hapiness #radość  :D ;)";happy
79;Wspaniale spędzam dziś czas z Kingą i jej makijażami #mega #szczęście #happy #zachwycona… :) :D;happy
80;#Szczęście można kupić na pchlim targu, ale bywa znoszone.;neutral 
81;Mój brzuszek dostał dziś taaaakie pyszne jedzonko <3 #szczęście;happy
82;Gdy się śmieje dziecko śmieje się cały świat ! #uśmiech #dziecko #szczęście #rodziców;happy
83;Mamy nadzieję, że ten dzień przyniesie wam wiele radości! #słońce #promienie #piękno #ciemność #życie #szczęście #cytaty #inspiracje;neutral 
84;Jeden ojciec znaczy więcej niż stu nauczycieli. :* George Herbert #family #mom #dad #cute #rodzina #mama #tata #szczęście #kiddli;neutral 
85;Dwadzieścia zakupionych książek na dwudzieste targi książki. #radość #szczęście #dobro;neutral 
86;Gdy po ponad roku i kilku kilogramach więcej nadal mieścisz się w swoją ulubioną koszulę #szczęście;happy
87;Ciesze się na myśl co się jutro stanie :D :D :D :D #życie #szczęście #wreście #bez #smutku (pozdro dla kumatych xD);happy
88;#Szczęście nie jedno ma imię. Najlepszy jest jednak wygodny #materac w nocy i dobra #kawa o poranku, w południe, wieczorkiem #przyjemność;neutral 
89;Wspaniałego dnia, kochani :) #dni #życie #szczęście #radość #szczegół #piękno #inspiracje #motywacje #cytaty #złotemyśli;happy
90;Gdy się śmieje dziecko śmieje się cały świat ! #uśmiech #dziecko #szczęście #rodziców;neutral 
91;Uśmiechnij się! Dziś piątek :) #uśmiech #radość #szczęście #życie #inspiracje #motywacje #światło #mniejawięcej;happy
92;Polecam chodzić na siłownię w galerii. Po siłowni idziesz na zakupy i kupujesz rzeczy. #szczęście;neutral 
93;Muzyka i od razu chce się żyć #szczęście #muzyka;neutral 
94;"A to dla ""tych"" co zostają w domu ;) :) Udanego tygodnia mysz #uśmiech #szczęście #wolność #miłość #relaks #mouse";happy
95;Kto Boga posiada jest szczęśliwy! #dobregoDnia #przeczytane #szczęście #człowiek;neutral 
96;Do what you love and do it often! #happiness #szczęście #pasja #kayak #kajak #outdoor #skyisthelimit;neutral 
97;„Nikt prócz ciebie nie odpowiada za twoje #szczęście. Jesteś menedżerem własnej radości” Regina Brett ;neutral 
98;Los, przeznaczenie, przypadek może dać Ci szczęście ;neutral 
99;#szczęście jest w każdym z nas…;neutral 
100;Każde dziecku, bez względu na to czy ma rodziców, zasługuje na szczęście... <3 #adopcion #adopcja #dziecko #szczęście #love;neutral 
101;Nie licz na #szczęście, działaj!;neutral 
102;#szczęście dla każdego oznacza coś innego. A może dziś #uśmiechnij_się tak po prostu. Dobrego dnia :);happy
103;Gdyby ktoś mnie szukał / jestem w siódmym niebie #Loesje #Szczęście #wdrodze #niebo #siódmeniebo;neutral 
104;Chcesz być szczęśliwym – pozwól, by inni byli z tobą szczęśliwi.;neutral 
105;Niech świat się nie zmienia jest idealny taki jaki jest #szczęście;neutral 
106;#tenmoment Gdy wstajesz rano, otwierasz drzwi od tarasu i słyszysz śpiew mew #szczęście;happy
107;Pamiętajmy o Humorze w Rodzinie :)) #szczęście #miłość #miłość #rodzina #relacje :D :D :D :P;neutral 
108;Niektórym do szczęścia brakuje naprawdę jedynie szczęścia. #szczęście;neutral 
109;Każdego dnia wywołuj uśmiech na twarzy drugiego człowieka! #misericors #miłość #uśmiech #radość #szczęście ;neutral 
110;To uczucie, gdy szukając pracy przypadkiem znajdujesz kilka ogłoszeń skrojonych pod Ciebie #szczęście #szczescie #praca;neutral 
111;Nic się nie uczylam z historii i nie było sprawdzianu #szczęście XDD  :D :D :D;happy
112;Książki jadą, książki jadą, książki jadą #szczęście :D;happy
113;energia doładowana :D #chce #się #żyć #szczęście;happy
114;Jeden telefon w sprawie zawodowej i poziom szczęścia wzrósł do maksymalnego poziomu! #coaching #kobietasukcesu #szczęście :D :D :D;happy
115;Mam kawę i ciastka :D #szczęście;happy
116;@J_estem Czasem przychodzi samo, czasem trzeba o nie powalczyć, a innym razem szczęściu trzeba pomóc :) #Szczęście;neutral 
117;Kolejny mecz i kolejne zwycięstwo. Chemik wciąż niepokonany [ZDJĘCIA];happy
118;Ależ @ZAKSA_official pięknie zlała Rosjan #DinamoMoscow w Lidze Mistrzów ;happy
119;Czy ktoś interesuje się siatkówką i chciałby być adminem na działającej już od 4lat stronie na fb? #tweetme #volleyball #siatkowka #gopoland;neutral 
120;Skra bez mocy w ataku. Szkoda trzech punktów. Rywalizacja trwa nadal. ;calm
121;Świetna wiadomość dla kibiców #siatkówka w #Katowice! #LigaŚwiatowa;happy
122;Z roku na rok z imprezy na imprezę sposób dystrybucji biletów na #siatkówka jest coraz gorsza ;discouraged
123;Siatkarze Espadonu nie sprawili niespodzianki w Bełchatowie.;neutral 
124;Marcin Możdzonek, @AssecoResovia : Włosi wybili nam siatkówkę z głowy.;depressed
125;Pełna galeria z meczu Pucharu Polski @BudowlaniLodz - KSZO;neutral 
126;Dziewczyny z @torunpl wygrały swój mecz w Pucharze Polski! Gratulujemy! ;happy
127;Chemik wygrywa i awansuje. Policzanki w ćwierćfinale PP!;happy
128;Ćwiczenia koordynacyjne i doskonalące odbicia piłki sposobem oburącz górnym;neutral 
129;Ambicji i zaangażowania nie brakowało zawodnikom TSV Sanok podczas meczu w Nysie ze Stalą #emocje #siatkówka ;calm
130;Dwa dni z #siatkówka w @Hala_Stulecia i ten moment kiedy @ZAKSA_official odbiera #PucharPolski ! Bezcenny! Brawo Zaksiaki ;happy
131;Po raz pierwszy w wyjściowej szóstce i od razu świetny mecz! 13 pkt., 47% skut. w ataku, 43% skut. w przyjęciu, 3 bloki, 2 asy! BRAWO! ;happy
132;Dziewczyny z @torunpl wygrały swój mecz w Pucharze Polski! Gratulujemy! ;happy
133;Siatkarze @stalnysa_com po meczu z TSV Sanok #siatkówka ;indeterminate
134;"""W sieci kłamstw"" świetny film !";happy
135;"Dzień dobry! :) #Weekend coraz bliżej. ;-)";happy
136;"Wieczór z jedną z powieści kryminalnych Katarzyny Bondy -"" Sprawa Niny Frank"" ";neutral 
137;"Prawda, że @LazienkiMuzeum zimą są piękne ;) Warto spacerować #niedziela #Warszawa #relaks #takasytuacja";calm
138;Co powiecie na seans w strefie Łaźni Brodnickich? Naszym zdaniem to doskonały pomysł na zimowe popołudnie:);happy
139;Zapraszamy w góry - piękna zima, więc warto weekend spędzić na #Podhalu #wolne #relaks;neutral 
140;Relaks z kuzynką ?????????? ;happy
141;Ale mu dobrze :);indeterminate
142;Poranny relaks w czwartkowy poranek? Dlaczego nie :);happy
143;Mamy nadzieję, że już macie #wolne i macie #relaks + #gaming :);happy
144;Jak spędzacie niedzielę? ;neutral 
145;Gospodarka się zwija, politycy PiS milczą. Ale chętnie zabierają głos ws. #Bolek #reprywatyzacja. ;discouraged
146;Spokojnie #PiS wymieni kadrę #GUS-u na swoich i wskażniki się poprawią.Teraz robią skok na KRS #dobrazmiana;discouraged
147;Nikt zdrowy na umyśle nie będzie inwestował w kraju zdanym na widzimisię paranoika z kotem. #PIS #GUS #Morawiecki;discouraged
148;Rześko z rana, super do biegania ?? #Ursynow #biegamy #razem #pomagamy #kilometry #kalorie #spalamy #pozytywnie #WSlusznejSprawie #SiePomaga;happy 
149;Zapalenie oskrzeli , leżenie w łóżku :( Ogółem #nudy , #negatywnie;depressed 
150;ha, true dat. zastanawiałam się co napisać byłej przyjaciółce, która zaczęła się po latach odzywać normalnie.. #neutralnie;neutral 
151;Ekspert o ALARMUJĄCEJ sytuacji za naszą wschodnią granicą: Ukrainie będzie potrzebna DENAZYFIKACJA;upset
152;IPN daje odpór kłamliwej niemieckiej propagandzie – ruszył portal „Niemieckie obozy zagłady”;upset
153;Ewa odmówiła radioterapii, bo jest w ciąży. Apel o modlitwę!;depressed 
154;Technośniadanie Banjaluka. Nie każdy poranek musi być szary! ;happy 
155;Ocieplenie stosunków #Polska -#Rosja? Piotr Gabryel: Polityka rządu @donaldtusk poniosła kompletne fiasko;discouraged
156;Dziś rocznica #AkcjaKutschera wyroku śmierci na Franza Kutscherę,dowódcę SS i policji na dystrykt warszawski.#Niemcy #Historia #WWII #Polska ;neutral 
157;#WAŻNE: #Gazprom zmniejsza dostawy przez #OPAL i #NordStream. To doraźny sukces #Polska ;happy 
158;#Polska to także Zachód. Mówienie o nim jako o czymś zewnętrznym to abdykacja z pożądanego miejsca na arenie międzynarodowej;depressed 
159;Bo jedność jest siłą!;happy 
160;Udzielanie pomocy poszkodowanym, wynika z człowieczeństwa, a nie wykonywanego zawodu;neutral 
161;miłego dnia;calm
162;#Szok #Polska #Tragedia Nowa, szokująca publikacja o #Auschwitz. Co mówili esesmani?;upset
163;Min. #Waszczykowski: #Polska w dalszym ciągu będzie aktywnym uczestnikiem dialogu nt. przyszłości #UE, #Brexit. #RokNowychZadań;calm
164;Wzrost cen za przejazd na autostradach Np. A4 Było drogo, będzie drożej;depressed 
165;#Polska liderem w #UE w zakresie przesyłania dużych projektów do Komisji Europ;neutral 
166;#Polska jest w #UE i Polacy powinni to doceniać,mieć pozytywne nastawienie do #EU,bo UE jest w interesie PL;upset
167;Nowy #artykuł już w drodze :) ;happy 
168;Rzut oka na Wisłę w Kazimierzu Dolnym ;neutral 
169;Dlaczego zablokowano mały ruch graniczny między #Polska i #Rosja?;upset
170;I Ty masz dar radzenia sobie ze stresem;calm
171;Stres - kiedy staje się niebezpieczny? ;neutral 
172;Muszę iść umyć włosy, aby zniwelować stres związany z lajkami na fejsie. ;upset
173;Mistrz networkingu radzi, co zrobić, by kontrolować nerwy ;calm
174;Bez stresu nie ma życia. Zamiast walczyć lepiej jest rozumieć stres;calm
175;Ryba bez wody, czyli 10 przyczyn strachu przed wystąpieniem publicznym ;neutral 
176;to tylko niektóre rzeczy, które powodują u nas #stres dziś uczymy się, jak sobie z nim radzić;calm
177;Z każdej pracy jestem niezadowolona. Nigdzie nie pasuję. Co robić?;depressed 
178;potrzeba wielkiej odwagi, by zawrzeć #małżeństwo w naszych #czas.ach;depressed 
179;ZUS będzie miał pięć lat na podważenie decyzji o przyznaniu renty ;neutral 
180;Więcej ludzi marnuje #czas i energię roztrząsając problemy niż rzeczywiście próbując je rozwiązać;upset
181;Ktoś sobie poczeka...;discouraged 
182;Ostatnio ktoś mi ukradł kilka cennych minut, więc przypominam post:;upset
183;Kolejny dzień z buta do domu Why !?;discouraged 
184;Chcę dyskretnie powiedzieć, że jestem załamana tym, że ferie się kończą.;discouraged 
185;Mój #mózg dziś to #zmęczona, nie mogąca się skupić #galaretka o smaku arbuza;discouraged 
186;Niech ktoś wyłączy światło w mojej głowie;upset
187;Poranny trening uważam za zakończony;neutral 
188;organizacja wyjazdów to ciężka sprawa;neutral 
189;Zaraz idę spać bo jutro mam pracy kurwa;upset
190;13 godzinny dzień pracy przy biurku uznaje za zakończony. Nogi mi spuchły i potrzebuję urlopu!! #zmęczona;upset
191;Niech ten dzień się skończy!! #znudzona #zmęczona #zlydzien;upset
192;Przyjechałam z roboty wykończona a teraz siedzę na piwie że znajomymi ;neutral 
193;Jestem #zmęczona, a dopiero #poniedziałek. Jutro na 8 do szkoły, ale ma mnie kto #obudzić więc raczej #wstanę :3;discouraged 
194;Niewiarygodnie długi dzień, a #deszcz pada i pada #zmęczona;depressed 
195;Szkoda. Ukazał się ostatni numer „Głosu Seniora”, dzieła Józefa Nyki;depressed 
196;Mechanior jak zawsze w formie! Czytajcie jego relację z Bloco Masters 2017, do tego świetne zdjęcia Stefana Madeja!;happy 
197;Nowa marka na polskim rynku;neutral 
198;Dzisiaj udanie swoją australijską przygodę zakończył wielki Roger Federer. A Wy nie marzycie o podróży na Antypody?;neutral 
199;Podtopiona ekspresowa trasa w pobliżu Marynarskiej. Część trasy zamknięta. ;upset
200;Nic tak nie poprawia humoru w #deszcz.owy #czwartek jak coś słodkiego i dobra lektura :) #książki;calm
201;"Polecamy samą książkę i jej recenzję - biografia Alexa MacIntyre'a ""Przeżyć dzień jak tygrys"" (John Porter)";neutral 
202;Lubię lodowiska ale preferuje jeżdżenie na łyżwach a nie samochodem :( Doslizgalam się dzisiaj do przedszkola, taka #pogoda #ślisko #deszcz;upset
203;To zrobiła się zakichana chlapa ... #pogoda #deszcz #lipa #nuda;discouraged
204;Nie tylko #śnieg stanowi zagrożenie dla widoczności - mgła i #deszcz także! Sprawdź, jak temu przeciwdziałać!;neutral 
205;Stolica deszczowa niestety #weekend #Warszawa #deszcz #RainyDay;depressed 
206;Od samego patrzenia przez okno ma się humor poniżej poziomu morza. #deszcz;depressed 
207;Pogoda na czwartek: Opady deszczu ze śniegiem ;neutral 
208;Deszcz jest moim ukojeniem, jego dźwięk wycisza mnie i uspokaja.;calm
209;#zimno #jesień #deszcz taka sytuacja za oknem aż nie chce się wstawać;depressed 
210;Pogoda uniemożliwia zbiór buraków ;discouraged
211;Sielsko...;calm
212;#deszcz, niestety pora nie zachęca do tańców ;discouraged
213;Co za szarość na horyzoncie. Pada, zimno i nudno. 8 godzin męki (czyt. Praca)... #zimno #nudno #praca #sobota #deszcz #szaro #ponuro;depressed 
214;Jest piękne!;happy 
215;PIĘKNE!!!;happy 
216;Dziś w Zielencu 6 kresek poniżej zera i idealne warunki do szusowania ;happy 
217;smutny;depressed 
218;zasmucony;depressed 
219;markotny;depressed 
220;ponury;depressed 
221;posępny;depressed 
222;zasępiony;depressed 
223;osępiały;depressed 
224;zgaszony;depressed 
225;przybity;depressed 
226;strapiony;depressed 
227;niepogodny;depressed 
228;apatyczny;depressed 
229;podenerwowany;upset
230;wśćiekły;upset
231;rozwścieczony;upset
232;wzburzony;upset
233;rozdrażniony;upset
234;podrażniony;upset
235;rozjuszony;upset
236;rozgniewany;upset
237;podminowany;upset
238;zbulwersowany;upset
239;nabuzowany;upset
240;gniewny;upset
241;zły;upset
242;zirytowany;upset
243;poirytowany;upset
244;spięty;upset
245;wnerwiony;upset
246;spieniony;upset
247;wpieniony;upset
248;wkurzony;upset
249;wkurwiony;upset
250;cały w newrach;upset
251;beznamiętny;calm
252;opanowany;calm
253;zrównoważony;calm
254;zimnokrwisty;calm
255;zgodny;calm
256;pokojowy;calm
257;łagodny;calm
258;stoicki;calm
259;bezkonfliktowy;calm
260;odprężony;calm
261;rozluźniony;calm
262;wyluzowany;calm
263;rozgoryczony;discouraged 
264;uprzedzony;discouraged 
265;zrezygnowany;discouraged 
266;załamany;discouraged 
267;zgaszony;discouraged 
268;przegrany;discouraged 
269;przybity;discouraged 
270;skwaszony;discouraged 
271;uszczęśliwiony;happy
272;uradowany;happy
273;radosny;happy
274;zachwycony;happy
275;wniebowzięty;happy
276;rozanielony;happy
277;kontent;happy
278;radosny;happy
279;pomyślny;happy
280;korzystny;happy
281;owocny;happy
282;bezstronny;neutral 
283;obojętny;neutral 
284;Bez opóźnień w ruchu pociągów;neutral 
285;Czad jest bezwonny i niewidoczny. Od 1.09 zaczadziło się juz 38 osób. Wczoraj zmarły kolejne 2 osoby. Zainstaluj czujnik tlenku węgla.;upset
286;Idealna #pogoda na #spacer. ;happy
287;Dzisiaj taka #pogoda, że #spacer obowiązkowy;neutral 
288;Marta jest urażona;depressed 
289;Zaraz będę miała pyszny obiadek;happy
290;najlepszy kraj, by odpocząć wśród natury - 7 miejsc, z których wrócisz zachwycony #natura #turystyka ;happy
291;indeterminate czy to przeziębienie +okres ale Halinka mnie strasznie irytuje #zle;discouraged
292;I ten moment kiedy wysyłasz sms i boisz się odpowiedzi.Nie dlatego że coś zmieni w moim życiu,tylko może oznaczać zawalenie czyjegoś świat.;depressed 
293;Trzy dni po 12h w pracy, padam na ryj. Jeszcze jutro..;discouraged
294;Sylwester jest przereklamowany.;discouraged
295;Nie czuję się zbyt dobrze..;depressed 
296;Ostatnio znowu ciężko.;depressed 
297;Gardło mnie boli :(;depressed 
298;2Pary spodni za 15zł -lubię takie zakupy xd;happy
299;Brak mocy.;depressed 
300;Wolność i spokój - to teraz czuje #wakacje #Bałtyk;calm
301;Te dni są męczące.. zjadłam pizzę, wypiłam sok pomarańczowy i jestem senna..;depressed 
302;Jestem tak zmęczona ze idę spać.;depressed 
303;Cześć:) mamy piątek!!!!;depressed 
304;Chyba już do końca życia będę sobie wypominał to, że nie pojechałem na #ŚDM do Krakowa...;depressed 
305;"Tak tylko przypomnę w kontekście dzisiejszej tragedii w Brukseli:""Nie będzie Pan w moim programie straszył Polaków!""";upset
306;Obejrzałem program Lisa. Podziwiam pana @wipler.a za cierpliwość i opanowanie. Po materiale z protestów conajmniej wyszedłbym ze studia...;upset
307;Dzisiaj nie robię nic. Jutro i pojutrze pójdę pobiegać :);neutral 
308;Chillout na balkonie z wodą z limonką :);calm
309;Wstrętne komary mnie pogryzły...;upset
310;Czekam już 30min na wizytę u okulisty;discouraged
311;Przyznaje się bez bicia, rosół mi nie wyszedł..;discouraged
312;Kręgosłup mnie boli...;depressed 
313;Jeszcze raz ktoś wspomni o tej grze to mnie krew zaleje;upset
314;Tęskno mi za rajem;depressed 
315;Mam Przemeczenie materiału i do tego mi przykro.;depressed 
316;Świeżo wyprana pościel+świeżo wyprana Maria = długi, spokojny i owocny sen :);calm
317;Przydały by mi się dłuższe wakacje.;depressed 
318;Samotność jest straszna.;depressed 
319;Jakoś tak.. #niemoc;discouraged
320;Dziś wizyta w Punkcie Honorowego Krwiodawstwa. Oddaje potrzebującym. Was też do tego zachęcam;neutral 
321;Mój poziom frustracji, złości i bezsilności osiągnął stan apogeum. #Zły #czas;upset
322;Dzisiaj walczymy domowym sposobem :);neutral 
323;Szybka gorąca kąpiel i do wyra..;calm
324;Źle się czujesz, nikt się Tobą nie opiekuje, nikogo to nie obchodzi. #najgorzej;depressed 
325;Zły dzień . #Off;upset
326;"Dzisiaj jest jakiś mecz, bo widzę kibica ;)";neutral 
327;Właśnie złamano mi serce..;depressed 
328;Po prostu rewelacja;happy
329;Nie. Bezmyślne kurwa babsko.;upset
330;Będzie mi przykro. Już mi jest przykro.;depressed 
331;Druga sprawa, jak mam się dogadać, jak on tylko wiecznie na mnie narzeka, do wszystkich wokół, pomijając moją osobę.;depressed 
332;Albo dzień taki senny, albo ja taka niewyspana;discouraged
333;Fantastyczny Releford, niesamowity na deskach Knowles i zimna krew Grzegorza Małeckiego! Wielkie brawa dla drużyny! ;happy
334;Do dnia dzisiejszego mi to nie przeszkadzało szczerze mówiąc, ale dziś granicą została przekroczona.;upset
335;Jak mnie dziś w pracy wkurwili (bo inaczej się nie da), to aż mnie do tej pory trzyma.;upset
336;Idąc do pracy, mijałam pieska bezdomnego, miałam dać mu pieroga, indeterminate czemu nie dałam ;depressed 
337;Wracałam z pracy i dostałam od jakiegoś gówniarza gałą śniegu ;upset
338;iestety stan Krystiana Rempały po operacji na razie nie ulega poprawie...;depressed 
339;Obejrzałam w końcu Lalaland i myślę, że można się do kilku rzeczy przyczepić, ale całościowo bardzo przyjemny. Dobrze spędzone 2 godziny.;calm
340;Dorsz w cieście piwnym w godzinach pracy. Policja nic nie może zrobić.;neutral 
341;Moim zdaniem super wiadomość!;happy
342;Ależ piękny wschód dzisiaj! ;happy
343;Nowy rok w pracy zaczęty miło - na parterze otworzyli nam Etno cafe, znaną z Wrocławia. :)));calm
